state,airtel_share_apr,airtel_share_may,airtel_growth,jio_growth,vodafone_growth,idea_growth
MANIPUR,42%,21%,-21%,-1%,14%,-5%
CHANDIGARH,68%,47%,-21%,-1%,17%,-3%
TRIPURA,58%,38%,-20%,0%,24%,-6%
ARUNACHAL PRADESH,27%,11%,-16%,-1%,9%,-1%
PUDUCHERRY,72%,63%,-9%,3%,0%,-1%
MEGHALAYA,26%,17%,-9%,-4%,7%,-3%
DAMAN AND DIU,30%,25%,-4%,1%,4%,-2%
PUNJAB,39%,36%,-4%,0%,4%,-2%
JAMMU AND KASHMIR,32%,28%,-3%,6%,-1%,0%
HIMACHAL PRADESH,11%,8%,-3%,2%,1%,-1%
CHHATTISGARH,14%,11%,-3%,-3%,-1%,4%
MIZORAM,22%,19%,-3%,-19%,21%,-6%
HARYANA,26%,25%,-1%,-2%,3%,1%
SIKKIM,10%,8%,-1%,10%,-10%,0%
KARNATAKA,30%,29%,-1%,1%,0%,-1%
WEST BENGAL,16%,16%,-1%,0%,2%,0%
UTTAR PRADESH,8%,8%,0%,1%,0%,0%
GOA,9%,9%,0%,4%,-4%,1%
ANDHRA PRADESH,25%,25%,0%,0%,0%,0%
TAMIL NADU,29%,29%,0%,0%,-1%,0%
DELHI,23%,23%,0%,1%,-2%,1%
MAHARASHTRA,16%,16%,1%,0%,0%,0%
GUJARAT,14%,15%,1%,2%,-2%,-1%
RAJASTHAN,68%,69%,1%,0%,1%,1%
BIHAR,35%,36%,1%,0%,0%,-1%
TELANGANA,24%,25%,1%,0%,0%,1%
ASSAM,19%,20%,1%,-2%,1%,0%
JHARKHAND,45%,46%,1%,-4%,-2%,0%
MADHYA PRADESH,16%,18%,2%,4%,-1%,-2%
DADRA AND NAGAR HAVELI,17%,19%,2%,-2%,1%,1%
KERALA,7%,9%,2%,0%,1%,-2%
NAGALAND,47%,52%,4%,-19%,10%,2%
UTTARAKHAND,29%,35%,6%,1%,-1%,0%
ODISHA,71%,79%,8%,-4%,0%,-2%
ANDAMAN AND NICOBAR ISLANDS,,,,,,
