state,udid_loyal,udid_churned,total,perc_churn,index,,,,,,,
MEGHALAYA,229,26,255,10.2%,1.274509804,,,,,,,
DADRA AND NAGAR HAVELI,265,30,295,10.2%,1.271186441,,,,,,,
GUJARAT,512672,50919,563591,9.0%,1.12934291,,,,,,,
MAHARASHTRA,1002532,87550,1090082,8.0%,1.003938236,,,,,,,
GOA,1075,92,1167,7.9%,0.985432734,,,,,,,
MADHYA PRADESH,159396,13327,172723,7.7%,0.964477806,,,,,,,
UTTARAKHAND,21963,1796,23759,7.6%,0.944905089,,,,,,,
DELHI,262340,21025,283365,7.4%,0.927469871,,,,,,,
TAMIL NADU,717316,55744,773060,7.2%,0.901353064,,,,,,,
BIHAR,98392,7462,105854,7.0%,0.881166512,,,,,,,
MIZORAM,106,8,114,7.0%,0.877192982,,,,,,,
HARYANA,44560,3337,47897,7.0%,0.870879178,,,,,,,
KARNATAKA,1021197,74490,1095687,6.8%,0.849809298,,,,,,,
KERALA,257839,17963,275802,6.5%,0.814125713,,,,,,,
DAMAN AND DIU,73,5,78,6.4%,0.801282051,,,,,,,
TELANGANA,406599,27661,434260,6.4%,0.796210795,,,,,,,
JHARKHAND,21283,1418,22701,6.2%,0.780802608,,,,,,,
WEST BENGAL,381620,25027,406647,6.2%,0.769309745,,,,,,,
ANDHRA PRADESH,160696,10444,171140,6.1%,0.762825757,,,,,,,
NAGALAND,125,8,133,6.0%,0.751879699,,,,,,,
CHANDIGARH,564,36,600,6.0%,0.75,,,,,,,
CHHATTISGARH,29516,1816,31332,5.8%,0.724498915,,,,,,,
ARUNACHAL PRADESH,513,31,544,5.7%,0.712316176,,,,,,,
TRIPURA,183,11,194,5.7%,0.708762887,,,,,,,
SIKKIM,674,39,713,5.5%,0.683730715,,,,,,,
JAMMU AND KASHMIR,99535,5549,105084,5.3%,0.660067184,,,,,,,
UTTAR PRADESH,621652,34466,656118,5.3%,0.656627314,,,,,,,
ASSAM,144584,7665,152249,5.0%,0.629314478,,,,,,,
PUNJAB,41573,2198,43771,5.0%,0.627698705,,,,,,,
MANIPUR,212,11,223,4.9%,0.616591928,,,,,,,
RAJASTHAN,110132,4157,114289,3.6%,0.454658804,,,,,,,
ODISHA,4832,174,5006,3.5%,0.434478626,,,,,,,
PUDUCHERRY,5353,140,5493,2.5%,0.318587293,,,,,,,
HIMACHAL PRADESH,29029,391,29420,1.3%,0.166128484,,,,,,,
